company,security,CNPJ
GAIA SECURITIZADORA S.A.,#N/D,07.587.384/0001-30
GAMA PARTICIPACOES S.A.,OPGM3B,02.796.775/0001-40
GENERAL SHOPPING E OUTLETS DO BRASIL S.A.,GSHP3,08.764.621/0001-53
GERDAU S.A.,GGBR3,33.611.500/0001-19
GERDAU S.A., GGBR4,33.611.500/0001-19
GOL LINHAS AEREAS INTELIGENTES S.A.,GOLL11,06.164.253/0001-87
GOL LINHAS AEREAS INTELIGENTES S.A., GOLL4,06.164.253/0001-87
GP INVESTMENTS. LTD.,GPIV33,07.857.850/0001-50
GPC PARTICIPACOES S.A.,GPCP3,02.193.750/0001-52
GPC PARTICIPACOES S.A., GPCP4,02.193.750/0001-52
GRAZZIOTIN S.A.,CGRA4,92.012.467/0001-70
GRAZZIOTIN S.A., CGRA3,92.012.467/0001-70
GRENDENE S.A.,GRND3,89.850.341/0001-60
GRUPO DE MODA SOMA S.A.,SOMA3,10.285.590/0001-08
GRUPO MATEUS S.A.,GMAT3,24.990.777/0001-09
CENTAURO S.A.,CNTO3,13.217.485/0001-11
GUARARAPES CONFECCOES S.A.,GUAR3,08.402.943/0001-52
HAGA S.A. INDUSTRIA E COMERCIO,HAGA3,30.540.991/0001-66
HAGA S.A. INDUSTRIA E COMERCIO, HAGA4,30.540.991/0001-66
HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,HAPV3,05.197.443/0001-38
HBR REALTY EMPREENDIMENTOS IMOBILIARIOS S/A,HBRE3,14.785.152/0001-51
HELBOR EMPREENDIMENTOS S.A.,HBOR3,49.263.189/0001-02
HERCULES S.A. FABRICA DE TALHERES,HETA3,92.749.225/0001-63
HERCULES S.A. FABRICA DE TALHERES, HETA4,92.749.225/0001-63
HIDROVIAS DO BRASIL S.A.,#N/D,12.648.327/0001-53
HOTEIS OTHON S.A.,HOOT4,33.200.049/0001-47
HYPERA S.A.,HYPE3,02.932.074/0001-91
IGB ELETRÔNICA S/A,IGBR3,43.185.362/0001-07
IGUA SANEAMENTO S.A.,IGSN3,08.159.965/0001-33
IGUATEMI EMPRESA DE SHOPPING CENTERS S.A,IGTA3,51.218.147/0001-93
INDUSTRIAS J B DUARTE S.A.,JBDU3,60.637.238/0001-54
INDUSTRIAS J B DUARTE S.A., JBDU4,60.637.238/0001-54
INDUSTRIAS ROMI S.A.,ROMI3,56.720.428/0001-63
INEPAR S.A. INDUSTRIA E CONSTRUCOES,INEP4,76.627.504/0001-06
INEPAR S.A. INDUSTRIA E CONSTRUCOES, INEP3,76.627.504/0001-06
INSTITUTO HERMES PARDINI S.A.,PARD3,19.378.769/0001-76
INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA,#N/D,82.901.000/0001-27
INTER CONSTRUTORA E INCORPORADORA S.A.,INNT3,09.611.768/0001-76
INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,MEAL3,17.314.329/0001-20
INVESTIMENTOS BEMGE S.A.,FIGE3,01.548.981/0001-79
INVESTIMENTOS BEMGE S.A., FIGE4,01.548.981/0001-79
INVESTIMENTOS E PARTICIP. EM INFRA S.A. – INVEPAR,IVPR4B,03.758.318/0001-24
INVESTIMENTOS E PARTICIP. EM INFRA S.A. – INVEPAR, IVPR3B,03.758.318/0001-24
IOCHPE MAXION S.A.,MYPK3,61.156.113/0001-75
IRANI PAPEL E EMBALAGEM S.A.,RANI3,92.791.243/0001-03
IRANI PAPEL E EMBALAGEM S.A., RANI4,92.791.243/0001-03
IRB – BRASIL RESSEGUROS S.A.,IRBR3,33.376.989/0001-91
ITAPEBI GERACAO DE ENERGIA S.A.,#N/D,02.397.080/0001-96
ITAU UNIBANCO HOLDING S.A.,ITUB3,60.872.504/0001-23
ITAU UNIBANCO HOLDING S.A., ITUB4,60.872.504/0001-23
ITAUSA S.A.,ITSA3,61.532.644/0001-15
ITAUSA S.A., ITSA4,61.532.644/0001-15
J. MACEDO S.A.,#N/D,14.998.371/0001-19
JALLES MACHADO S.A.,JALL3,02.635.522/0001-95
JBS S.A.,JBSS3,02.916.265/0001-60
JEREISSATI PARTICIPACOES S.A.,JPSA3,60.543.816/0001-93
JHSF PARTICIPACOES S.A.,JHSF3,08.294.224/0001-65
JOAO FORTES ENGENHARIA S.A.,JFEN3,33.035.536/0001-00
JOSAPAR-JOAQUIM OLIVEIRA S.A. – PARTICIP,JOPA3,87.456.562/0001-22
JOSAPAR-JOAQUIM OLIVEIRA S.A. – PARTICIP, JOPA4,87.456.562/0001-22
JSL S.A.,JSLG3,52.548.435/0001-79
KARSTEN S.A.,CTKA4,82.640.558/0001-04
KARSTEN S.A., CTKA3,82.640.558/0001-04
KEPLER WEBER S.A.,KEPL3,91.983.056/0001-69
KLABIN S.A.,KLBN11,89.637.490/0001-45
KLABIN S.A., KLBN3,89.637.490/0001-45
KLABIN S.A., KLBN4,89.637.490/0001-45
LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,LAVV3,26.462.693/0001-28
LIFEMED INDUSTRIAL EQUIP. DE ART. MÉD. HOSP. S.A.,LMED3,02.357.251/0001-53
LIGHT S.A.,LIGT3,03.378.521/0001-75
LIGHT SERVICOS DE ELETRICIDADE S.A.,#N/D,60.444.437/0001-46
LINX S.A.,LINX3,06.948.969/0001-75
LITEL PARTICIPACOES S.A.,LTEL3B,00.743.065/0001-27
LITELA PARTICIPAÇÕES S.A.,LTLA3B,05.495.546/0001-84
LOCALIZA RENT A CAR S.A.,RENT3,16.670.085/0001-55
LOCAWEB SERVIÇOS DE INTERNET S.A.,LWSA3,02.351.877/0001-52
LOG COMMERCIAL PROPERTIES,LOGG3,09.041.168/0001-10
LOG-IN LOGISTICA INTERMODAL S.A.,LOGN3,42.278.291/0001-24
LOJAS AMERICANAS S.A.,LAME3,33.014.556/0001-96
LOJAS AMERICANAS S.A., LAME4,33.014.556/0001-96
LOJAS QUERO-QUERO S/A,#N/D,96.418.264/0218-02
LOJAS RENNER S.A.,LREN3,92.754.738/0001-62
LPS BRASIL – CONSULTORIA DE IMOVEIS S.A.,LPSB3,08.078.847/0001-09
LUPATECH S.A.,LUPA3,89.463.822/0001-12
M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,MDIA3,07.206.816/0001-15
MAESTRO LOCADORA DE VEICULOS S.A.,MSRO3,08.795.211/0001-70
MAGAZINE LUIZA S.A.,MGLU3,47.960.950/0001-21
MAHLE-METAL LEVE S.A.,LEVE3,60.476.884/0001-87
MANGELS INDUSTRIAL S.A.,MGEL3,61.065.298/0001-02
MANGELS INDUSTRIAL S.A., MGEL4,61.065.298/0001-02
MANUFATURA DE BRINQUEDOS ESTRELA S.A.,ESTR4,61.082.004/0001-50
MANUFATURA DE BRINQUEDOS ESTRELA S.A., ESTR3,61.082.004/0001-50
MARCOPOLO S.A.,POMO4,88.611.835/0001-29
MARCOPOLO S.A., POMO3,88.611.835/0001-29
MARFRIG GLOBAL FOODS S.A.,MRFG3,03.853.896/0001-40
LOJAS MARISA S.A.,AMAR3,61.189.288/0001-89
MÉLIUZ S.A.,CASH3,14.110.585/0001-07
MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.,MELK3,12.181.987/0001-77
MERCANTIL BRASIL FINANC S.A. C.F.I.,MERC3,33.040.601/0001-87
MERCANTIL BRASIL FINANC S.A. C.F.I., MERC4,33.040.601/0001-87
METALFRIO SOLUTIONS S.A.,FRIO3,04.821.041/0001-08
METALGRAFICA IGUACU S.A.,MTIG3,80.227.184/0001-66
METALGRAFICA IGUACU S.A., MTIG4,80.227.184/0001-66
METALURGICA GERDAU S.A.,GOAU3,92.690.783/0001-09
METALURGICA GERDAU S.A., GOAU4,92.690.783/0001-09
METALURGICA RIOSULENSE S.A.,RSUL3,85.778.074/0001-06
METALURGICA RIOSULENSE S.A., RSUL4,85.778.074/0001-06
METISA METALURGICA TIMBOENSE S.A.,MTSA3,86.375.425/0001-09
METISA METALURGICA TIMBOENSE S.A., MTSA4,86.375.425/0001-09
MGI – MINAS GERAIS PARTICIPAÇÕES S.A.,#N/D,19.296.342/0001-29
MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.,MILS3,27.093.558/0001-15
MINASMAQUINAS S.A.,MMAQ3,17.161.241/0001-15
MINASMAQUINAS S.A., MMAQ4,17.161.241/0001-15
MINERVA S.A.,BEEF3,67.620.377/0001-14
MINERVA S.A., BEEF11,67.620.377/0001-14
MINUPAR PARTICIPACOES S.A.,MNPR3,90.076.886/0001-40
MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,MTRE3,07.882.930/0001-65
MMX MINERACAO E METALICOS S.A.,MMXM3,02.762.115/0001-49
Mobly S.A.,MBLY3,31.553.627/0001-01
MONTEIRO ARANHA S.A.,MOAR3,33.102.476/0001-92
Mosaico Tecnologia ao Consumidor S.A.,MOSI3,09.083.175/0001-84
MOURA DUBEUX ENGENHARIA S/A,MDNE3,12.049.631/0001-84
MOVIDA PARTICIPACOES SA,MOVI3,21.314.559/0001-66
MPM CORPÓREOS S.A.,ESPA3,26.659.061/0001-59
MRS LOGISTICA S.A.,MRSA3B,01.417.222/0001-77
MRS LOGISTICA S.A., MRSA5B,01.417.222/0001-77
MRS LOGISTICA S.A., MRSA6B,01.417.222/0001-77
MRV ENGENHARIA E PARTICIPACOES S.A.,MRVE3,08.343.492/0001-20
MULTIPLAN – EMPREEND IMOBILIARIOS S.A.,MULT3,07.816.890/0001-53
MUNDIAL S.A. – PRODUTOS DE CONSUMO,MNDL3,88.610.191/0001-54
NATURA &CO HOLDING S.A.,NTCO3,32.785.497/0001-97
NATURA COSMETICOS S.A.,NTCO3,71.673.990/0001-77
NEOENERGIA S.A.,NEOE3,01.083.200/0001-18
NEOGRID PARTICIPACOES S.A.,NGRD3,10.139.870/0001-08
NORDON INDUSTRIAS METALURGICAS S.A.,NORD3,60.884.319/0001-59
NORTEC QUÍMICA S.A.,NRTQ3,29.950.060/0001-57
NOTRE DAME INTERMEDICA PARTICIPACOES SA,GNDI3,19.853.511/0001-84
NUTRIPLANT INDUSTRIA E COMERCIO S.A.,#N/D,51.128.999/0001-90
OCEANPACT SERVICOS MARITIMOS S.A.,OPCT3,09.114.805/0001-30
OCTANTE SECURITIZADORA S.A.,#N/D,12.139.922/0001-63
ODONTOPREV S.A.,ODPV3,58.119.199/0001-51
OI S.A.,OIBR4,76.535.764/0001-43
OI S.A., OIBR3,76.535.764/0001-43
OMEGA GERAÇÃO S.A.,OMGE3,09.149.503/0001-06
OPPORTUNITY ENERGIA E PARTICIPACOES S.A.,OPHE3B,02.318.346/0001-68
ORIZON VALORIZACAO DE RESIDUOS S.A.,ORVR3,11.421.994/0001-36
OSX BRASIL S.A.,OSXB3,09.112.685/0001-32
OURINVEST SECURITIZADORA SA,#N/D,12.320.349/0001-90
OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.,OFSA3,20.258.278/0001-70
OURO VERDE LOCACAO E SERVICO S.A.,#N/D,75.609.123/0001-23
PADTEC HOLDING S.A.,PDTC3,02.365.069/0001-44
PANATLANTICA S.A.,PATI3,92.693.019/0001-89
PANATLANTICA S.A., PATI4,92.693.019/0001-89
PARANA BCO S.A.,#N/D,14.388.334/0001-99
PARANAPANEMA S.A.,PMAM3,60.398.369/0004-79
PATRIA CIA SECURITIZADORA DE CRED IMOB,#N/D,02.736.470/0001-43
PBG S/A,PTBL3,83.475.913/0001-91
PDG COMPANHIA SECURITIZADORA,#N/D,09.538.973/0001-53
PDG REALTY S.A. EMPREEND E PARTICIPACOES,PDGR3,02.950.811/0001-89
PET CENTER COMERCIO E PARTICIPACOES S.A.,PETZ3,18.328.118/0001-09
PETRO RIO S.A.,PRIO3,10.629.105/0001-68
PETROBRAS DISTRIBUIDORA S/A,BRDT3,34.274.233/0001-02
PETROLEO BRASILEIRO S.A. PETROBRAS,PETR4,33.000.167/0001-01
PETROLEO BRASILEIRO S.A. PETROBRAS, PETR3,33.000.167/0001-01
PETTENATI S.A. INDUSTRIA TEXTIL,PTNT3,88.613.658/0001-10
PETTENATI S.A. INDUSTRIA TEXTIL, PTNT4,88.613.658/0001-10
PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,PLPL3,24.230.275/0001-80
PLASCAR PARTICIPACOES INDUSTRIAIS S.A.,PLAS3,51.928.174/0001-50
POLO CAPITAL SECURITIZADORA S.A,#N/D,12.261.588/0001-16
POLPAR S.A.,PPAR3,59.789.545/0001-71
POMIFRUTAS S/A,FRTA3,86.550.951/0001-50
PORTO SEGURO S.A.,PSSA3,02.149.205/0001-69
PORTO SUDESTE V.M. S.A.,PSVM11,18.494.485/0001-82
POSITIVO TECNOLOGIA S.A.,POSI3,81.243.735/0001-48
PPLA PARTICIPATIONS LTD.,PPLA11,15.073.274/0001-88
PRATICA KLIMAQUIP INDUSTRIA E COMERCIO SA,PTCA11,08.574.411/0001-00
PRATICA KLIMAQUIP INDUSTRIA E COMERCIO SA, PTCA3,08.574.411/0001-00
PRINER SERVIÇOS INDUSTRIAIS S.A.,PRNR3,18.593.815/0001-97
PRODUTORES ENERGET.DE MANSO S.A.- PROMAN,PRMN3B,02.291.077/0001-93
PROFARMA DISTRIB PROD FARMACEUTICOS S.A.,PFRM3,45.453.214/0001-51
PROMPT PARTICIPACOES S.A.,PRPT3B,02.992.449/0001-09
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,QUAL3,11.992.680/0001-93
QUALITY SOFTWARE S.A.,QUSW3,35.791.391/0001-94
RAIA DROGASIL S.A.,RADL3,61.585.865/0001-51
RAIZEN ENERGIA S.A.,#N/D,08.070.508/0001-78
RANDON S.A. IMPLEMENTOS E PARTICIPACOES,RAPT4,89.086.144/0001-16
RANDON S.A. IMPLEMENTOS E PARTICIPACOES, RAPT3,89.086.144/0001-16
RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,#N/D,02.773.542/0001-22
REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.,#N/D,02.643.896/0001-52
RECRUSUL S.A.,RCSL3,91.333.666/0001-17
RECRUSUL S.A., RCSL4,91.333.666/0001-17
Rede DOr São Luiz S.A.,nan,nan
REDE ENERGIA PARTICIPAÇÕES S.A.,REDE3,61.584.140/0001-49
REFINARIA DE PETROLEOS MANGUINHOS S.A.,RPMG3,33.412.081/0001-96
RENOVA ENERGIA S.A.,RNEW11,08.534.605/0001-74
RENOVA ENERGIA S.A., RNEW4,08.534.605/0001-74
RENOVA ENERGIA S.A., RNEW3,08.534.605/0001-74
RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS S.A.,LLIS3,49.669.856/0001-43
RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,#N/D,02.016.440/0001-62
RIO PARANAPANEMA ENERGIA S.A.,GEPA3,02.998.301/0001-81
RIO PARANAPANEMA ENERGIA S.A., GEPA4,02.998.301/0001-81
RNI NEGÓCIOS IMOBILIÁRIOS S.A.,RDNI3,67.010.660/0001-24
RODOVIAS DAS COLINAS S.A.,#N/D,03.025.305/0001-46
ROSSI RESIDENCIAL S.A.,RSID3,61.065.751/0001-80
RUMO MALHA NORTE S.A.,FRRN3B,24.962.466/0001-36
RUMO MALHA NORTE S.A., FRRN5B,24.962.466/0001-36
RUMO MALHA NORTE S.A., FRRN6B,24.962.466/0001-36
RUMO MALHA PAULISTA S.A.,#N/D,02.502.844/0001-66
RUMO S.A.,RAIL3,02.387.241/0001-60
SALUS INFRAESTRUTURA PORTUARIA SA,#N/D,15.494.541/0001-90
SANESALTO SANEAMENTO S.A.,#N/D,02.724.983/0001-34
SANSUY S.A. INDUSTRIA DE PLASTICOS,SNSY3,14.807.945/0001-24
SANSUY S.A. INDUSTRIA DE PLASTICOS, SNSY5,14.807.945/0001-24
SANSUY S.A. INDUSTRIA DE PLASTICOS, SNSY6,14.807.945/0001-24
SANTO ANTONIO ENERGIA S.A.,#N/D,09.391.823/0001-60
SANTOS BRASIL PARTICIPACOES S.A.,STBP3,02.762.121/0001-04
SAO CARLOS EMPREEND E PARTICIPACOES S.A.,SCAR3,29.780.061/0001-09
SAO MARTINHO S.A.,SMTO3,51.466.860/0001-56
SAO PAULO TURISMO S.A.,AHEB3,62.002.886/0001-60
SAO PAULO TURISMO S.A., AHEB5,62.002.886/0001-60
SAO PAULO TURISMO S.A., AHEB6,62.002.886/0001-60
SARAIVA LIVREIROS S.A. – EM RECUPERAÇÃO JUDICIAL,SLED4,60.500.139/0001-26
SARAIVA LIVREIROS S.A. – EM RECUPERAÇÃO JUDICIAL, SLED3,60.500.139/0001-26
SCHULZ S.A.,SHUL4,84.693.183/0001-68
SCHULZ S.A., SHUL3,84.693.183/0001-68
SEQUOIA LOGISTICA E TRANSPORTES S.A,SEQL3,01.599.101/0001-93
SER EDUCACIONAL S.A.,SEER3,04.986.320/0001-13
SIDERURGICA J. L. ALIPERTI S.A.,APTI3,61.156.931/0001-78
SIDERURGICA J. L. ALIPERTI S.A., APTI4,61.156.931/0001-78
SIMPAR S.A.,SIMH3,07.415.333/0001-20
SINQIA S.A.,SQIA3,04.065.791/0001-99
SLC AGRICOLA S.A.,SLCE3,89.096.457/0001-55
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,07.594.978/0001-78
SMILES FIDELIDADE S.A.,SMLS3,05.730.375/0001-20
SONDOTECNICA ENGENHARIA SOLOS S.A.,SOND3,33.386.210/0001-19
SONDOTECNICA ENGENHARIA SOLOS S.A., SOND5,33.386.210/0001-19
SONDOTECNICA ENGENHARIA SOLOS S.A., SOND6,33.386.210/0001-19
SPRINGS GLOBAL PARTICIPACOES S.A.,SGPS3,07.718.269/0001-57
STARA S.A. – INDÚSTRIA DE IMPLEMENTOS AGRÍCOLAS,#N/D,91.495.499/0001-00
STATKRAFT ENERGIAS RENOVAVEIS S.A.,STKF3,00.622.416/0001-41
SUDESTE S.A.,OPSE3B,02.062.747/0001-08
SUL 116 PARTICIPACOES S.A.,OPTS3B,01.957.772/0001-89
SUL AMERICA S.A.,SULA11,29.978.814/0001-87
SUL AMERICA S.A., SULA3,29.978.814/0001-87
SUL AMERICA S.A., SULA4,29.978.814/0001-87
SUZANO HOLDING S.A.,NEMO3,60.651.809/0001-05
SUZANO HOLDING S.A., NEMO5,60.651.809/0001-05
SUZANO HOLDING S.A., NEMO6,60.651.809/0001-05
SUZANO S.A.,SUZB3,16.404.287/0001-55
T4F ENTRETENIMENTO S.A.,SHOW3,02.860.694/0001-62
TAURUS ARMAS S.A.,TASA13,92.781.335/0001-02
TAURUS ARMAS S.A., TASA15,92.781.335/0001-02
TAURUS ARMAS S.A., TASA17,92.781.335/0001-02
TAURUS ARMAS S.A., TASA3,92.781.335/0001-02
TAURUS ARMAS S.A., TASA4,92.781.335/0001-02
TCP TERMINAL DE CONTEINERES DE PARANAGUA SA,#N/D,12.919.786/0001-24
TECHNOS S.A.,TECN3,09.295.063/0001-97
TECNISA S.A.,TCSA3,08.065.557/0001-12
TECNOSOLO ENGENHARIA S.A.,TCNO3,33.111.246/0001-90
TECNOSOLO ENGENHARIA S.A., TCNO4,33.111.246/0001-90
TEGMA GESTAO LOGISTICA S.A.,TGMA3,02.351.144/0001-18
TEKA-TECELAGEM KUEHNRICH S.A.,TEKA3,82.636.986/0001-55
TEKA-TECELAGEM KUEHNRICH S.A., TEKA4,82.636.986/0001-55
TEKNO S.A. – INDUSTRIA E COMERCIO,TKNO3,33.467.572/0001-34
TEKNO S.A. – INDUSTRIA E COMERCIO, TKNO4,33.467.572/0001-34
TELEC BRASILEIRAS S.A. TELEBRAS,TELB4,00.336.701/0001-04
TELEC BRASILEIRAS S.A. TELEBRAS, TELB3,00.336.701/0001-04
TELEFÔNICA BRASIL S.A,VIVT3,02.558.157/0001-62
TELEFÔNICA BRASIL S.A, VIVT4,02.558.157/0001-62
TERMELÉTRICA PERNAMBUCO III S.A.,#N/D,10.502.676/0001-37
TERMINAL GARAGEM MENEZES CORTES S.A.,MNZC3B,02.664.042/0001-52
TERMOPERNAMBUCO S.A.,#N/D,03.795.050/0001-09
TERRA SANTA AGRO S.A.,TESA12,05.799.312/0001-20
TERRA SANTA AGRO S.A., TESA3,05.799.312/0001-20
TEXTIL RENAUXVIEW S.A.,#N/D,82.982.075/0001-80
TIM S.A.,TIMP3,02.558.115/0001-21
TOTVS S.A.,TOTS3,53.113.791/0001-22
TPI – TRIUNFO PARTICIP. E INVEST. S.A.,TPIS3,03.014.553/0001-91
TRACK & FIELD CO S.A.,TFCO4,59.418.806/0001-47
TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,TAEE11,07.859.971/0001-30
TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A., TAEE3,07.859.971/0001-30
TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A., TAEE4,07.859.971/0001-30
TREVISA INVESTIMENTOS S.A.,LUXM3,92.660.570/0001-26
TREVISA INVESTIMENTOS S.A., LUXM4,92.660.570/0001-26
TRIÂNGULO DO SOL AUTO-ESTRADAS S.A.,#N/D,02.509.186/0001-34
TRISUL S.A.,TRIS3,08.811.643/0001-27
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG3,15.115.504/0001-24
TRONOX PIGMENTOS DO BRASIL S.A., CRPG5,15.115.504/0001-24
TRONOX PIGMENTOS DO BRASIL S.A., CRPG6,15.115.504/0001-24
TRUE SECURITIZADORA S.A.,APCS-CRI05B0,12.130.744/0001-00
TUPY S.A.,TUPY3,84.683.374/0001-49
ULTRAPAR PARTICIPACOES S.A.,UGPA3,33.256.439/0001-39
UNICASA INDÚSTRIA DE MÓVEIS S.A.,UCAS3,90.441.460/0001-48
UNIDAS S.A.,LCAM3,04.437.534/0001-30
UNIPAR CARBOCLORO S.A.,UNIP3,33.958.695/0001-78
UNIPAR CARBOCLORO S.A., UNIP5,33.958.695/0001-78
UNIPAR CARBOCLORO S.A., UNIP6,33.958.695/0001-78
UPTICK PARTICIPACOES S.A.,UPKP3B,02.162.616/0001-94
USINAS SID DE MINAS GERAIS S.A.-USIMINAS,USIM6,60.894.730/0001-05
USINAS SID DE MINAS GERAIS S.A.-USIMINAS, USIM5,60.894.730/0001-05
USINAS SID DE MINAS GERAIS S.A.-USIMINAS, USIM3,60.894.730/0001-05
VALE S.A.,VALE3,33.592.510/0001-54
VALID SOLUÇÕES S.A.,VLID3,33.113.309/0001-47
VAMOS LOCAÇÃO DE CAMINHÕES. MÁQUINAS E EQUIP. S.A.,VAMO3,23.373.000/0001-32
VERT COMPANHIA SECURITIZADORA,#N/D,25.005.683/0001-09
VIA VAREJO S.A.,VVAR3,33.041.260/0652-90
VIVARA PARTICIPAÇOES S.A,VIVA3,33.839.910/0001-11
VIVER INCORPORADORA E CONSTRUTORA S.A.,VIVR3,67.571.414/0001-41
VULCABRAS/AZALEIA S.A.,VULC3,50.926.955/0001-42
WEG S.A.,WEGE3,84.429.695/0001-11
WESTWING COMERCIO VAREJISTA S.A.,WEST3,14.776.142/0001-50
WETZEL S.A.,MWET3,84.683.671/0001-94
WETZEL S.A., MWET4,84.683.671/0001-94
WHIRLPOOL S.A.,WHRL3,59.105.999/0001-86
WILSON SONS LTD.,WSON33,05.721.735/0001-28
WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.,WIZS3,42.278.473/0001-03
WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,WLMM3,33.228.024/0001-51
WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A., WLMM4,33.228.024/0001-51
YDUQS PARTICIPACOES S.A.,YDUQ3,08.807.432/0001-10
